# mlight/meV nloc/cm-3 sensitivity
4.177318840693031348e+02 1.168951816498578289e+01 1.888854970913507458e-01
4.411553223984711849e+02 1.168951816498578289e+01 0.000000000000000000e+00
4.658921808520876198e+02 1.168951816498578289e+01 2.477405764303216573e-01
4.920161067059729021e+02 1.168951816498578289e+01 0.000000000000000000e+00
5.196048768523114632e+02 1.168951816498578289e+01 0.000000000000000000e+00
5.487406293592129032e+02 1.168951816498578289e+01 0.000000000000000000e+00
5.795101080145033166e+02 1.168951816498578289e+01 0.000000000000000000e+00
6.120049205817790607e+02 1.168951816498578289e+01 0.000000000000000000e+00
6.463218115376449759e+02 1.168951816498578289e+01 0.000000000000000000e+00
6.825629501021041960e+02 1.168951816498578289e+01 2.048443814429748086e-02
7.208362344196575577e+02 1.168951816498578289e+01 0.000000000000000000e+00
7.612556127967158091e+02 1.168951816498578289e+01 2.385366385116199639e-01
8.039414229517250305e+02 1.168951816498578289e+01 0.000000000000000000e+00
8.490207502880352877e+02 1.168951816498578289e+01 6.639097433882075461e-02
8.966278062561549405e+02 1.168951816498578289e+01 0.000000000000000000e+00
9.469043279318956365e+02 1.168951816498578289e+01 0.000000000000000000e+00
1.000000000000000000e+03 1.168951816498578289e+01 9.124429670614789267e-02
4.000000000000001421e+01 1.263848202934297760e+01 0.000000000000000000e+00
4.224291601598523727e+01 1.263848202934297760e+01 0.000000000000000000e+00
4.461159883833953899e+01 1.263848202934297760e+01 0.000000000000000000e+00
4.711310057666999995e+01 1.263848202934297760e+01 0.000000000000000000e+00
4.975486877282340004e+01 1.263848202934297760e+01 0.000000000000000000e+00
5.254476857391861699e+01 1.263848202934297760e+01 0.000000000000000000e+00
5.549110614868559566e+01 1.263848202934297760e+01 0.000000000000000000e+00
5.860265341682614348e+01 1.263848202934297760e+01 9.857829808611562328e-02
6.188867416502191077e+01 1.263848202934297760e+01 0.000000000000000000e+00
6.535895162734237829e+01 1.263848202934297760e+01 0.000000000000000000e+00
6.902381761216662426e+01 1.263848202934297760e+01 0.000000000000000000e+00
7.289418326233591472e+01 1.263848202934297760e+01 0.000000000000000000e+00
7.698157154011725822e+01 1.263848202934297760e+01 0.000000000000000000e+00
8.129815153369328584e+01 1.263848202934297760e+01 0.000000000000000000e+00
8.585677468731614681e+01 1.263848202934297760e+01 0.000000000000000000e+00
9.067101306299150565e+01 1.263848202934297760e+01 0.000000000000000000e+00
9.575519974760622688e+01 1.263848202934297760e+01 1.325322626871009435e-01
1.011244715258004874e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.067948139456319865e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.127831089112024898e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.191071849439410357e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.257858702621828968e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.328390488370752678e+02 1.263848202934297760e+01 1.240462096782883050e-01
1.402877195916981350e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.481540589196547160e+02 1.263848202934297760e+01 1.548336354222237810e-01
1.564614867092575139e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.652347360698838656e+02 1.263848202934297760e+01 1.770425917475622613e-01
1.744999269680897100e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.842846439927142228e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.946180184804990745e+02 1.263848202934297760e+01 0.000000000000000000e+00
2.055308152467293610e+02 1.263848202934297760e+01 1.509195348267680648e-01
2.170555241791140872e+02 1.263848202934297760e+01 0.000000000000000000e+00
2.292264569675991766e+02 1.263848202934297760e+01 1.975894363771518170e-01
2.420798492581035646e+02 1.263848202934297760e+01 0.000000000000000000e+00
2.556539685343107919e+02 1.263848202934297760e+01 0.000000000000000000e+00
2.699892280487055132e+02 1.263848202934297760e+01 0.000000000000000000e+00
2.851283071420536999e+02 1.263848202934297760e+01 0.000000000000000000e+00
3.011162783095454074e+02 1.263848202934297760e+01 0.000000000000000000e+00
3.180007413919040005e+02 1.263848202934297760e+01 0.000000000000000000e+00
3.358319652909805768e+02 1.263848202934297760e+01 0.000000000000000000e+00
3.546630376317539231e+02 1.263848202934297760e+01 2.518129669273876381e-01
3.745500228163097063e+02 1.263848202934297760e+01 0.000000000000000000e+00
3.955521289403679930e+02 1.263848202934297760e+01 0.000000000000000000e+00
4.177318840693031348e+02 1.263848202934297760e+01 2.367618406101295592e-01
4.411553223984711849e+02 1.263848202934297760e+01 0.000000000000000000e+00
4.658921808520876198e+02 1.263848202934297760e+01 2.033573882886598738e-01
4.920161067059729021e+02 1.263848202934297760e+01 0.000000000000000000e+00
5.196048768523114632e+02 1.263848202934297760e+01 0.000000000000000000e+00
5.487406293592129032e+02 1.263848202934297760e+01 0.000000000000000000e+00
5.795101080145033166e+02 1.263848202934297760e+01 0.000000000000000000e+00
6.120049205817790607e+02 1.263848202934297760e+01 0.000000000000000000e+00
6.463218115376449759e+02 1.263848202934297760e+01 0.000000000000000000e+00
6.825629501021041960e+02 1.263848202934297760e+01 1.325756908840337589e-01
7.208362344196575577e+02 1.263848202934297760e+01 0.000000000000000000e+00
7.612556127967158091e+02 1.263848202934297760e+01 2.555240523990610080e-01
8.039414229517250305e+02 1.263848202934297760e+01 0.000000000000000000e+00
8.490207502880352877e+02 1.263848202934297760e+01 1.421545777194990201e-01
8.966278062561549405e+02 1.263848202934297760e+01 0.000000000000000000e+00
9.469043279318956365e+02 1.263848202934297760e+01 0.000000000000000000e+00
1.000000000000000000e+03 1.263848202934297760e+01 6.918156816477870341e-02
4.000000000000001421e+01 1.366448349295325748e+01 0.000000000000000000e+00
4.224291601598523727e+01 1.366448349295325748e+01 0.000000000000000000e+00
4.461159883833953899e+01 1.366448349295325748e+01 0.000000000000000000e+00
4.711310057666999995e+01 1.366448349295325748e+01 0.000000000000000000e+00
4.975486877282340004e+01 1.366448349295325748e+01 0.000000000000000000e+00
5.254476857391861699e+01 1.366448349295325748e+01 0.000000000000000000e+00
5.549110614868559566e+01 1.366448349295325748e+01 0.000000000000000000e+00
5.860265341682614348e+01 1.366448349295325748e+01 0.000000000000000000e+00
6.188867416502191077e+01 1.366448349295325748e+01 0.000000000000000000e+00
6.535895162734237829e+01 1.366448349295325748e+01 0.000000000000000000e+00
6.902381761216662426e+01 1.366448349295325748e+01 0.000000000000000000e+00
7.289418326233591472e+01 1.366448349295325748e+01 0.000000000000000000e+00
7.698157154011725822e+01 1.366448349295325748e+01 0.000000000000000000e+00
8.129815153369328584e+01 1.366448349295325748e+01 0.000000000000000000e+00
8.585677468731614681e+01 1.366448349295325748e+01 0.000000000000000000e+00
9.067101306299150565e+01 1.366448349295325748e+01 0.000000000000000000e+00
9.575519974760622688e+01 1.366448349295325748e+01 0.000000000000000000e+00
1.011244715258004874e+02 1.366448349295325748e+01 0.000000000000000000e+00
1.067948139456319865e+02 1.366448349295325748e+01 0.000000000000000000e+00
1.127831089112024898e+02 1.366448349295325748e+01 0.000000000000000000e+00
1.191071849439410357e+02 1.366448349295325748e+01 0.000000000000000000e+00
1.257858702621828968e+02 1.366448349295325748e+01 0.000000000000000000e+00
1.328390488370752678e+02 1.366448349295325748e+01 6.675569749566982736e-02
